Linux 4.15.0-117-generic (sl1-21) 	Thursday 28 January 2021 	_x86_64_	(4 CPU)

11:47:37  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:54:27  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:54:32  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:54:37  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:54:42  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:54:47  IST  all    0.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.70
11:54:52  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:54:57  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:02  IST  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:55:07  IST  all    0.00    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.90
11:55:12  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:55:17  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:55:22  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:55:27  IST  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:55:32  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:55:37  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:55:42  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:55:47  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:55:52  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:55:57  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:56:02  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:56:07  IST  all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:56:12  IST  all    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:56:17  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:56:22  IST  all    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.95
11:56:27  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:56:32  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:56:37  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:56:42  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:56:47  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:56:52  IST  all    0.05    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.55
11:56:57  IST  all    0.05    0.00    0.84    0.05    0.00    0.05    0.00    0.00    0.00   99.01
11:57:02  IST  all    0.05    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.20

Average:     all   18.13    0.00    1.15    0.02    0.00    3.77    0.00    0.00    0.00   76.93
